node_id,lat,lon,added
612,55.723296888888896,37.609650666666674,2
613,55.725084,37.610181999999995,2
614,55.726896888888895,37.61061733333334,2
615,55.72873555555556,37.61095666666667,2
616,55.73272666666667,37.613664444444446,2
617,55.73470933333334,37.61622311111111,2
618,55.736548,37.618876,2
619,55.73824266666667,37.621623111111106,2
620,55.73979333333333,37.62446444444445,2
621,55.74341888888889,37.62869666666667,2
622,55.74569022222223,37.62986800000001,2
623,55.748014,37.630914,2
624,55.75039022222222,37.63183466666666,2
625,55.752818888888896,37.63263,2
626,55.75719111111112,37.63374333333334,2
627,55.759045777777786,37.63428266666667,2
628,55.760864,37.634918,2
629,55.76264577777778,37.63564933333333,2
630,55.76439111111112,37.63647666666667,2
631,55.76742222222223,37.63664333333334,2
632,55.76869555555556,37.63582266666667,2
633,55.76992,37.634938000000005,2
634,55.771095555555554,37.63398933333333,2
635,55.772222222222226,37.63297666666667,2
636,55.77461444444445,37.631707777777784,2
637,55.775929777777776,37.63158577777779,2
638,55.77724599999999,37.631534,2
639,55.77856311111111,37.631552444444445,2
640,55.77988111111111,37.63164111111111,2
641,55.783168888888895,37.63280888888889,2
642,55.78517688888889,37.63370755555556,2
643,55.787224,37.634496,2
644,55.78931022222222,37.63517422222222,2
645,55.79143555555556,37.63574222222222,2
646,55.79619555555556,37.6363288888889,2
647,55.79876622222223,37.6365928888889,2
648,55.801311999999996,37.636992000000006,2
649,55.80383288888889,37.637526222222235,2
650,55.80632888888889,37.63819555555556,2
651,55.81080333333333,37.63962333333334,2
652,55.812825333333336,37.64013733333334,2
653,55.814865999999995,37.640542,2
654,55.81692533333333,37.64083733333334,2
655,55.819003333333335,37.64102333333334,2
656,55.82500444444445,37.64010444444445,2
657,55.828933777777785,37.63932044444445,2
658,55.832888,37.63874800000001,2
659,55.83686711111111,37.638387111111115,2
660,55.84087111111111,37.638237777777775,2
661,55.846296666666674,37.640928888888894,2
662,55.84782133333335,37.64346622222223,2
663,55.849474,37.645912,2
664,55.85125466666668,37.648266222222226,2
665,55.85316333333334,37.65052888888889,2
666,55.857826666666675,37.65433444444445,2
667,55.860349333333346,37.656095111111114,2
668,55.862768,37.657982000000004,2
669,55.865082666666666,37.659995111111115,2
670,55.867293333333336,37.66213444444445,2
671,55.872435555555555,37.664278888888894,2
672,55.87544355555556,37.663999555555556,2
673,55.878423999999995,37.663562,2
674,55.88137688888889,37.662966222222224,2
675,55.88430222222222,37.66221222222222,2
676,55.75250727777778,37.60742760000001,2
677,55.75250964444445,37.60607082666667,2
678,55.7524401,37.60471968,2
679,55.75229864444445,37.60337416,2
680,55.75208527777778,37.60203426666667,2
681,55.750895555555566,37.59773333333334,2
682,55.7501528888889,37.59474,2
683,55.749572,37.59172,2
684,55.749152888888894,37.58867333333333,2
685,55.74889555555556,37.5856,2
686,55.74831111111112,37.579551111111115,2
687,55.74767111111112,37.576648444444444,2
688,55.746880000000004,37.573792,2
689,55.74593777777778,37.570981777777774,2
690,55.74484444444445,37.568217777777775,2
691,55.74241777777778,37.562740000000005,2
692,55.741388444444446,37.55993733333334,2
693,55.740512,37.557092,2
694,55.73978844444444,37.554204,2
695,55.73921777777778,37.551273333333334,2
696,55.739292222222225,37.546007777777774,2
697,55.73966088888889,37.54370577777778,2
698,55.739906,37.541394,2
699,55.74002755555556,37.53907244444444,2
700,55.74002555555556,37.53674111111111,2
701,55.74048555555556,37.53103111111111,2
702,55.74124355555556,37.52771644444445,2
703,55.742174000000006,37.524456,2
704,55.743276888888886,37.52124977777778,2
705,55.744552222222225,37.51809777777778,2
706,55.74601777777779,37.51206777777778,2
707,55.74588177777778,37.509155111111106,2
708,55.745592,37.506262,2
709,55.74514844444445,37.50338844444444,2
710,55.74455111111111,37.50053444444444,2
711,55.74278000000001,37.49539333333333,2
712,55.741888,37.49304933333334,2
713,55.741124,37.490668,2
714,55.740488000000006,37.48824933333333,2
715,55.73998,37.48579333333333,2
716,55.739360000000005,37.480520000000006,2
717,55.73897600000001,37.47777200000001,2
718,55.738448,37.475056,2
719,55.737776,37.47237200000001,2
720,55.736959999999996,37.46972,2
721,55.73464555555555,37.46368444444445,2
722,55.73347955555556,37.46022177777779,2
723,55.732502,37.456712,2
724,55.731712888888886,37.453155111111116,2
725,55.73111222222222,37.44955111111112,2
726,55.74520546666667,37.561570688888885,2
727,55.746593813333334,37.55758470222223,2
728,55.74776504,37.553542039999996,2
729,55.74871914666666,37.54944270222222,2
730,55.749456133333325,37.54528668888889,2
731,55.74953724444444,37.53991557777778,2
732,55.74916225777778,37.538742257777784,2
733,55.74885104,37.53755404,2
734,55.74860359111111,37.53635092444445,2
735,55.748419911111114,37.53513291111111,2
736,55.571112222222226,37.58048333333334,2
737,55.57309955555556,37.58394666666667,2
738,55.575261999999995,37.58729,2
739,55.57759955555555,37.59051333333334,2
740,55.58011222222222,37.59361666666667,2
741,55.584901111111115,37.59696444444445,2
742,55.58696844444445,37.597436444444455,2
743,55.589002,37.598016,2
744,55.59100177777778,37.598703111111114,2
745,55.59296777777778,37.59949777777778,2
746,55.597727777777784,37.60145555555556,2
747,55.600591111111115,37.602355555555555,2
748,55.60349,37.6031,2
749,55.60642444444444,37.60368888888889,2
750,55.60939444444445,37.60412222222222,2
751,55.61416888888889,37.60494444444445,2
752,55.6158968888889,37.60557777777778,2
753,55.617584,37.606300000000005,2
754,55.61923022222223,37.60711111111111,2
