node_id,neighbors_with_weights
237,"[(1490, 443.4294269052338), (1491, 408.5048230470132)]"
238,"[(1356, 419.12694258108917)]"
239,"[(1215, 427.6305120829512), (1216, 395.1451693496733)]"
240,"[(705, 252.00793180124424), (706, 183.53097250330705)]"
241,"[(715, 161.6947909095849), (716, 176.05659278752307)]"
242,"[(1390, 250.88081301958346), (1391, 217.1571868678163)]"
243,"[(1260, 178.81470649881578), (1261, 253.86738025429622)]"
244,"[(446, 238.45957701271237)]"
245,"[(166, 268.91402830267566), (425, 255.40905625964274), (426, 368.1243490256175)]"
246,"[(420, 260.3381139007322), (421, 218.5878365272868)]"
247,"[(540, 281.92314852192345), (541, 292.16138730145303)]"
248,"[(224, 710.3682329685904), (810, 162.94894528732286), (811, 245.45242691784182)]"
249,"[(1320, 366.7037157530754), (1321, 217.6247940715502)]"
250,"[(760, 333.4197632144563), (761, 225.17513716196746)]"
251,"[(178, 230.62989938498245), (214, 487.1827406899472), (805, 252.6112322387083), (806, 139.13491975154187)]"
252,"[(206, 374.54272879844194), (226, 294.67505393295176), (1290, 179.55416043902002), (1291, 130.60794473700258)]"
253,"[(93, 540.7034939137513), (94, 445.37460179797586), (1420, 250.2024493262424), (1421, 299.5654019383371)]"
254,"[(610, 300.80082253868557), (611, 198.23062198472644)]"
255,"[(1475, 228.76500928274078), (1476, 165.2504033193013)]"
256,"[(285, 330.0679796272806), (286, 428.1825422995789)]"
257,"[(1045, 375.9766033085052), (1046, 453.4357227900286)]"
258,"[(960, 270.2539649324749)]"
259,"[(260, 487.04775950650185), (935, 273.445625479248), (936, 180.87414991487984)]"
260,"[(259, 487.04775950650185), (390, 298.7574776182655), (391, 351.4536470429448)]"
261,"[(1510, 430.84162352760643), (1511, 350.27981594642944)]"
262,"[(1235, 332.9996871413934), (1236, 320.11370047218935)]"
263,"[(755, 184.70667340938417), (756, 341.12338634547086)]"
264,"[(565, 229.96289713144702), (566, 330.8192298266483)]"
265,"[(1365, 354.55219034448726), (1366, 252.53764055993358)]"
266,"[(222, 288.6992182707787), (267, 283.6445475218442)]"
267,"[(266, 283.6445475218442), (268, 281.0233091113134)]"
268,"[(267, 281.0233091113134), (269, 280.90363160042193)]"
269,"[(268, 280.90363160042193), (270, 283.28868339255575)]"
270,"[(105, 288.11626611361623), (269, 283.28868339255575)]"
271,"[(105, 338.1324131505584), (272, 326.9643698287512)]"
272,"[(271, 326.9643698287512), (273, 317.87494730763933)]"
273,"[(272, 317.87494730763933), (274, 311.046537979659)]"
274,"[(273, 311.046537979659), (275, 306.6303505830489)]"
275,"[(164, 304.73139977234433), (274, 306.6303505830489)]"
276,"[(164, 390.0881670943548), (277, 389.4187340338187)]"
277,"[(276, 389.4187340338187), (278, 392.1365615423447)]"
278,"[(277, 392.1365615423447), (279, 398.17243270803584)]"
279,"[(278, 398.17243270803584), (280, 407.3790239970407)]"
280,"[(0, 419.5477795031521), (279, 407.3790239970407)]"
281,"[(0, 359.27750218377605), (282, 348.26155741502157)]"
282,"[(281, 348.26155741502157), (283, 339.6695243395871)]"
283,"[(282, 339.6695243395871), (284, 333.68880533488414)]"
284,"[(283, 333.68880533488414), (285, 330.46132598675666)]"
285,"[(256, 330.0679796272806), (284, 330.46132598675666)]"
286,"[(256, 428.1825422995789), (287, 414.8616253261959)]"
287,"[(286, 414.8616253261959), (288, 404.37802388963)]"
288,"[(287, 404.37802388963), (289, 396.95643635350837)]"
289,"[(288, 396.95643635350837), (290, 392.7703053532932)]"
290,"[(156, 391.92314419768076), (289, 392.7703053532932)]"
291,"[(156, 323.49385867215057), (292, 317.2965972867728)]"
292,"[(291, 317.2965972867728), (293, 313.79294274707456)]"
293,"[(292, 313.79294274707456), (294, 313.0733555103477)]"
294,"[(293, 313.0733555103477), (295, 315.156920030028)]"
295,"[(130, 319.98889737895223), (294, 315.156920030028)]"
296,"[(130, 538.9786208993161), (297, 523.4157574484483)]"
297,"[(296, 523.4157574484483), (298, 511.66938138072726)]"
298,"[(297, 511.66938138072726), (299, 504.00618085854694)]"
299,"[(298, 504.00618085854694), (300, 500.613473357179)]"
300,"[(131, 501.5776924783081), (299, 500.613473357179)]"
301,"[(92, 269.19991376631896), (302, 264.9025291766787)]"
302,"[(301, 264.9025291766787), (303, 260.87615976740216)]"
303,"[(302, 260.87615976740216), (304, 257.13360454390386)]"
304,"[(303, 257.13360454390386), (305, 253.68748970688907)]"
305,"[(50, 250.55010958672364), (304, 253.68748970688907)]"
306,"[(50, 344.4643349185788), (307, 351.5920038808509)]"
307,"[(306, 351.5920038808509), (308, 359.34861910514286)]"
308,"[(307, 359.34861910514286), (309, 367.6944270394652)]"
309,"[(308, 367.6944270394652), (310, 376.59031395200617)]"
310,"[(8, 385.99831429644166), (309, 376.59031395200617)]"
311,"[(8, 292.5720413808793), (312, 281.80700764520304)]"
312,"[(311, 281.80700764520304), (313, 272.1734348887203)]"
313,"[(312, 272.1734348887203), (314, 263.79522917017175)]"
314,"[(313, 263.79522917017175), (315, 256.79520224769925)]"
315,"[(115, 251.28845648589484), (314, 256.79520224769925)]"
316,"[(115, 249.03791053814476), (317, 255.18079723742383)]"
317,"[(316, 255.18079723742383), (318, 262.597629751604)]"
318,"[(317, 262.597629751604), (319, 271.18382326890145)]"
319,"[(318, 271.18382326890145), (320, 280.8320714817725)]"
320,"[(174, 291.43685051807785), (319, 280.8320714817725)]"
321,"[(174, 268.9586377289716), (322, 259.08947917617377)]"
322,"[(321, 259.08947917617377), (323, 250.20187520602047)]"
323,"[(322, 250.20187520602047), (324, 242.40374781768398)]"
324,"[(323, 242.40374781768398), (325, 235.80313725500136)]"
325,"[(128, 230.50286204089187), (324, 235.80313725500136)]"
326,"[(128, 253.17928775735504), (327, 259.8515451713199)]"
327,"[(326, 259.8515451713199), (328, 267.5799547115553)]"
328,"[(327, 267.5799547115553), (329, 276.27583605610886)]"
329,"[(328, 276.27583605610886), (330, 285.8508549270354)]"
330,"[(46, 296.21972615497015), (329, 285.8508549270354)]"
331,"[(46, 380.68769362474393), (332, 371.0792144454574)]"
332,"[(331, 371.0792144454574), (333, 364.3705641909184)]"
