node_id,x,y,added
364,566249.5171023456,1486375.7441266412,2
365,566307.010047936,1486429.4866800422,2
366,566360.9767417802,1486551.1552870022,2
367,566360.6594631601,1486613.2034125372,2
368,566362.19299734,1486675.018376604,2
369,566365.57734432,1486736.6001792036,2
370,566370.8125040999,1486797.9488203356,2
371,566385.8629515,1486965.8387659802,2
372,566390.62473288,1487072.6092249013,2
373,566392.1838208201,1487179.375676764,2
374,566390.54021532,1487286.1381215681,2
375,566385.69391638,1487392.8965593132,2
376,566342.0247840001,1487577.069486778,2
377,566308.9353335999,1487657.2656415112,2
378,566278.3765728001,1487740.2394542,2
379,566250.3485016001,1487825.990924844,2
380,566224.85112,1487914.5200534442,2
381,566181.6389112,1488070.6687122223,2
382,566159.6237131202,1488133.1713542223,2
383,566135.83883376,1488193.334766,2
384,566110.28427312,1488251.1589475556,2
385,566082.9600312001,1488306.643898889,2
386,566039.2914576001,1488426.9351357778,2
387,566026.79767056,1488494.969369245,2
388,566016.3847468799,1488563.8923204,2
389,566008.05268656,1488633.7039892448,2
390,566001.8014896,1488704.4043757778,2
391,565940.8842948,1488838.4231693335,2
392,565882.69387968,1488895.1298109335,2
393,565823.0599106399,1488946.1134048002,2
394,565761.98238768,1488991.3739509336,2
395,565699.4613108,1489030.9114493337,2
396,565527.0087924,1489051.214235778,2
397,565418.8806590402,1489047.9043199113,2
398,565311.11227992,1489054.7961523999,2
399,565203.70365504,1489071.8897332444,2
400,565096.6547844,1489099.1850624445,2
401,564944.89412292,1489168.0147468778,2
402,564899.2139980322,1489194.929316538,2
403,564852.925293336,1489217.42584898,2
404,564806.028008832,1489235.5043442044,2
405,564758.5221445201,1489249.164802211,2
406,564636.3373081201,1489218.3621697668,2
407,564561.6041593921,1489185.4977229603,2
408,564486.208254216,1489159.81388258,2
409,564410.149592592,1489141.3106486266,2
410,564333.42817452,1489129.9880211,2
411,564181.0255332,1489136.6889607778,2
412,564106.21162992,1489140.4670192443,2
413,564031.60229016,1489137.1801753999,2
